International Conference on Advanced Communications and Computation,INFOCOMP,Unranked
Financial Cryptography and Data Security Conference,FC,A
Foundations of Genetic Algorithms,FOGA,A
Foundations of Software Science and Computational Structures,FOSSACS,A
Genetic and Evolutionary Computations,GECCO,A
Graph Drawing,GD,A
IEEE Computer Security Foundations Symposium (was CSFW),CSF,A
IEEE Conference on Computational Complexity,CCC,A
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*
IEEE European Symposium on Security and Privacy,EuroS&P,A
IEEE International Conference on Computer Communications,INFOCOM,A*
IEEE International Conference on Computer Vision,ICCV,A*
IEEE International Conference on Data Mining,ICDM,A*
IEEE International Conference on Document Analysis and Recognition,ICDAR,A
IEEE International Conference on Multimedia and Expo,ICME,A
IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A
IEEE International Conference on Robotics and Automation,ICRA,A*
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A
IEEE International Conference on Web Services,ICWS,A
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A
IEEE International Requirements Engineering Conference,RE,A
IEEE International Working Conference on Mining Software Repositories,MSR,A
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A
IEEE Symposium on Foundations of Computer Science,FOCS,A*
IEEE Symposium on Logic in Computer Science,LICS,A*
IEEE Symposium on Security and Privacy,SP,A*
IEEE Visualization,IEEE VIS,A
IEEE Workshop on Applications of Computer Vision,WACV,A
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A
Information Processing in Sensor Networks,IPSN,A*
Innovations in Theoretical Computer Science,ITCS,A
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A
International Colloquium on Automata Languages and Programming,ICALP,A
International Computing Education Research Workshop,ICER,A
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A
International Conference in Business Process Management,BPM,A
International Conference on Advanced Information Systems Engineering,CaiSE,A
International Conference on Artificial Intelligence and Statistics,AISTATS,A
International Conference on Artificial Intelligence in Education,AIED,A
International Conference on Automated Deduction,CADE,A
International Conference on Automated Planning and Scheduling,ICAPS,A*
International Conference on Conceptual Modelling,ER,A
International Conference on Concurrency Theory,CONCUR,A
International Conference on Data Engineering,ICDE,A*
International Conference on Database Theory,ICDT,A
International Conference on Distributed Computing Systems,ICDCS,A
International Conference on Evaluation and Assessment in Software Engineering,EASE,A
International Conference on Functional Programming,ICFP,A
International Conference on Human Factors in Computing Systems,CHI,A*
International Conference on Intelligent User Interfaces,IUI,A
International Conference on Learning Analytics and Knowledge,LAK,A
International Conference on Learning Representations,ICLR,A*
International Conference on Logic Programming,ICLP,A
International Conference on Machine Learning,ICML,A*
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A
International Conference on Principles and Practice of Constraint Programming,CP,A
International Conference on Service Oriented Computing,ICSOC,A
International Conference on Software Architecture (was previously WICSA),ICSA,A
International Conference on Software Engineering,ICSE,A*
"International Conference on Software Testing, Verification and Validation",ICST,A
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A
International Conference on Theory and Applications of Satisfiability Testing,SAT,A
International Conference on Very Large Databases,VLDB,A*
International Conference on Web and Social Media,ICWSM,A
International Joint Conference on Artificial Intelligence,IJCAI,A*
International Joint Conference on Automated Reasoning,IJCAR,A
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*
International Semantic Web Conference,ISWC,A
International Symposium on Algorithms and Computation,ISAAC,A
International Symposium on Code Generation and Optimization,CGO,A
International Symposium on Computational Geometry,SoCG,A
International Symposium on Distributed Computing (was WDAG),DISC,A
International Symposium on Empirical Software Engineering and Measurement,ESEM,A
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A
International Symposium on High Performance Computer Architecture,HPCA,A*
International Symposium on Mathematical Foundations of Computer Science,MFCS,A
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A
International Symposium on Software Reliability Engineering,ISSRE,A
International Symposium on Software Testing and Analysis,ISSTA,A
International Symposium on Symbolic and Algebraic Computation,ISSAC,A
International Symposium on Theoretical Aspects of Computer Science,STACS,A
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A
International World Wide Web Conference,WWW,A*
Internet Measurement Conference,IMC,A
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A
"Logics in Artificial Intelligence, European Conference",JELIA,A
Measurement and Modeling of Computer Systems,SIGMETRICS,A*
Medical Image Computing and Computer-Assisted Intervention,MICCAI,A
National Conference of the American Association for Artificial Intelligence,AAAI,A*
North American Association for Computational Linguistics,NAACL,A
Parallel Problem Solving from Nature,PPSN,A
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A
Real Time Systems Symposium,RTSS,A*
SIAM International Conference on Data Mining,SDM,A
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A
Theoretical Aspects of Rationality and Knowledge,TARK,A
Theory of Cryptography Conference,TCC,A
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A
Usenix Annual Technical Conference,USENIX,A
Usenix Network and Distributed System Security Symposium,NDSS,A*
Usenix Security Symposium,USENIX-Security,A*
Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*
USENIX Workshop on Hot Topics in Operating Systems,HotOS,A
Workshop on Algorithm Engineering and Experiments,ALENEX,A
Workshop on Cryptographic Hardware and Embedded Systems,CHES,A
